Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Correcta
La Declaración de Incheon para la Educación establecía las bases para:;Todos los ODS.;El Objetivo de desarrollo sostenible 4.;El uso efectivo de los dispositivos móviles en todos los ámbitos educativos;Ninguna de las anteriores es cierta;2
Señala qué proyectos de u-m-learning de los siguientes se han realizado en España:;Proyecto MOBILE LEARNING EOI.;Proyecto Edumóvil por la Universidad Autónoma de Madrid (UAM).;Proyecto spin-off 'Aptent Soluciones' en la Universidad Carlos III Madrid (uc3m).;Todas las respuestas son correctas;4
El proceso que resulta de utilizar varias aplicaciones enlazadas para completar una tarea o proyecto final se denomina:;Creapptividad;Apps-Smashing;ApS a través de Apps.;Apps for Good;2
Una ventaja de usar el Apps-Smashing en el aula es:;Se fomenta el trabajo dirigido.;No se crean contenidos, solo se reutilizan;Se maximiza el potencial de las herramientas digitales combinando características y funciones.;Siempre son experiencias de aprendizaje gamificadas;3
La propuesta didáctica que aúna el aprendizaje con el compromiso social se denomina:;Creapptividad;Apps-Smashing;ApS;Apps for Good;3
Una iniciativa internacional que trabaja el Aprendizaje de servicio a través del diseño de Apps es:;Technovation Apps;Creapptividad;ApS;Apps for Good;4
Una iniciativa internacional que trabaja el Aprendizaje de servicio a través del diseño de Apps y, además, tiene como objetivo acercar la tecnología y el emprendimiento a las niñas para tratar de reducir la brecha de género existente en las carreras STEAM es:;Technovation Girls;Creapptividad;ApS;Apps for Good;1
¿Cuántos ODS hay en la actualidad?:;18;17;10;Ninguna de las anteriores es cierta;2
Los Objetivos de Desarrollo sostenible se deben cumplir en el año:;2025;2050;2030;Ninguna de las anteriores es cierta;3
Si queremos encontrar las acciones y eventos de su zona a los que usted puede sumarse para apoyar los ODS podemos usar la App:;ODS en Acción;Apps for Good;Technovation Apps;Ninguna de las anteriores es cierta;1
