pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Es una representación visual de un tema en un espacio digital e interactivo;Badges;Breakout Edu;Thinglink;Marco digital de Aprendizaje;4
Las rutas del Breakout Edu pueden ser ..;Abierta;Cerrada;Multilineal;Lineal;1,3,4
El breakout es...;Gamificación;Ninguna de las respuesta es correcta;Juegos Serios;Simulación;1
¿Qué aplicación permite crear los Badges?;Audacity;Badge Builder;Symbaloo;Genially;2
¿Qué tipos de recompensas se utilizan en la gamificación?;Todas;Logros;Premios;Tablas de Clasificación;1
Para el diseño de un Breakout se debe considerar...;Insignias;Cajas cerradas;Objetivos;Historia;1,2,3,4
Si dentro de un Breakout se tiene múltiples opciones para completar, estamos ante una ...;Ruta Multilineal;Ruta lineal;Ruta abierta;Ninguna es correcta;1
Cuando un jugador puede elegir entre varios caminos al iniciar el Breakout, estamos ante una ...;Ruta abierta;Ruta Multilineal;Ruta lineal;Ninguna es correcta;1
Para crear un breakout, podemos emplear:;Ninguna es correcta;Ruta lineal;Ruta Multilineal;Ruta abierta;2,3,4
¿Qué debemos tener en cuenta a la hora de introducir una gamificación?;Tiempos;Incentivos;Objetivos;Motivación del alumno;1,2,3,4
Según Kapp (2012) el Aprendizaje Basado en Juego o (GLB) ...;Todas son correctas;Usa gamificación en clase;Usa juegos para el aprendizaje;Usa simulaciones en clase;3
