pregunta;opcion1;opcion2;opcion3;opcion4;correcta
La imagen como elemento instruccional va más allá de sus simples características formales, no solo depende de su factor cognitivo y comunicacional, sino también de:;Los colores y formas que contienen;Calidad y formato;Del mensaje que transmite;La organización de sus elementos;3
La imagen no debe ser empleada como recurso decorativo, sino que debe ser seleccionada para ayudar al alumno a activar sus conocimientos previos y facilitar la comprensión de los conceptos transmitidos. Indica cuál de las siguientes afirmaciones es incorrecta:;Ilustra nuevos conceptos.;Ayuda a activar los conocimientos previos.;Estimula la imaginación.;Plantea retos y desafíos.;4
El docente en su rol de diseñador instruccional en un entorno digital de aprendizaje, deberá seleccionar las imágenes atendiendo a…;Su calidad y formato;Su resolución;Los objetivos definidos en cada uno de los temas.;Sus elementos como el color y la forma y si llamarán la atención del estudiante.;3
¿Cuál de las siguientes afirmaciones NO supone una ventaja de las herramientas de creación y edición de imágenes online?;Accesible desde cualquier dispositivo con conexión a internet.;Compatibles con cualquier sistema operativo;Existen limitaciones en el diseño de ciertos elementos.;Interfaz intuitiva.;3
Indica cuál de las siguientes herramientas ofrece únicamente cinco diseños al usuario en su versión gratuita.;Genially;Prezi;Gravit;Picktochart;4
¿Qué herramienta online seleccionarías para la edición y retoque de una imagen?;Photoshop;Pixlr;Genially;Gravit;2
Necesitas crear una imagen desde cero, ¿qué aplicación online te permitirá hacer dibujo vectorial?;Prezi;Genially;Photoshop;Gravit;4
¿A qué hacen referencia las capas de una imagen digital?;A los píxeles que se van superponiendo;El encuadre, el reflejo, las luces, los puntos oscuros y todos los parámetros que acaban formando la imagen y aportando su profundidad;Al color y la forma que juntas componen la totalidad de la imagen;A la superficie, el fondo, el color y la forma;2
Al hablar de creación y edición de imagen con herramientas offline hacemos referencia a aquellos programas qué no requieren de conexión a internet. ¿Cuál de las siguientes afirmaciones es incorrecta?;Las aplicaciones offline pueden ser instaladas en el ordenador;Las aplicaciones offline que editan imágenes trabajan con capas;Son de código abierto y no requieren licencia;Permiten integrar elementos como figuras, texto, volúmenes y transparencias;3
¿Cuál de las siguientes herramientas es compatible únicamente con dispositivos Android?;Gimp;Genially;Pixlr;Gallery Go;4
