pregunta;opcion1;opcion2;opcion3;opcion4;correcta
"La frase ""aprender jugando"" se asocia a la metodología";Gamificación;Game Based Learning;ABP;Aprendizaje Servicio;2
El potencial del GBL se compone de elementos como modelo, como lectura, como actividad compartida y;Rol del profesor;Rol del estudiante;Aprendizaje servicio;La gamificación;1
En el potencial como modelo, existe la opción de;Cambiar las reglas;Añadir más jugadores;Participar en su diseño;Cambiarlo por completo;3
El rol del profesor es tratar de: (elige la correcta);Conectar con el juego con el alumno;Cambiar las reglas;Poner nota;Intervenir activamente mientras juegan;1
Implementar un juego consta de 3 fases: Introducción, gestión y;Evaluación;Feedback interno;Puesta en práctica;Creación;1
Durante la introducción es importante: Captar, facilitar y...;Dejar jugar;Explicar;Evaluar;Empoderar;4
Durante la introducción, lo primero y más importante es;Que haya buen clima en el aula;Conocer bien el juego;Preparar futura evaluación;Comprobar conexión WIFI;2
Con una buena gestión, veremos a nuestro alumnado;Colaborando e implicándose;Compitiendo;Reflexionando;Ninguna es correcta;1
Es importante incidir en la gestión del juego, que todo el mundo tiene un;Porfolio;Dispositivo electrónico;Juego;Papel;4
Una vez acaba el juego, es muy importante tener;Un feedback;Una rúbrica;Un plan B;Una ficha evaluativa;1
Realizar una partida con un grupo de alumnos mientras el resto observan es;Método clásico;Método pecera;Método Bartle;Método GBL;2
Hacer que un grupo de alumnos expliquen el juego al resto se conoce como;Jugadores generosos;Help, please;Sube que te llevo;Jugadores expertos;4
A la hora de evaluar, si cada jugador anota sus acciones o decisiones, lo encuadraremos dentro del;Listado preguntas;Registro;Confección;Rúbricas;2
Es muy recomendable que, cuando acaba el juego, el alumnado pueda;Cambiar una regla;Cambiarse de sitio;Cambiar de grupo;Cambiar de juego;1
El personaje principal del Caterpillar, visto en clase, es una;Araña;Salamandra;Tortuga;Oruga;4
