pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Qué factor no influye en el contexto del juego?;Autoría;Género del juego;Tienda donde se vende;;3
Si no me apetece seguir la historia o cumplir objetivos y solamente quiero disfrutar del mundo que tengo delante, según Bartle, ¿qué tipo de jugador soy?;Explorador;Socializador;Conquistador;;1
Quiero acabar la partida sin encajar ningún gol. Este es un objetivo;Final;Deseado;Externo;;2
Si mi personaje es golpeado y pierde un corazón de vida, acabo de sufrir un/a;Recompensa;Penalización;Logro;;2
Crear una alianza durante una partida es una mecánica;Social;Temporal;Informativa;;1
Aunque pierda, voy a seguir jugando porque disfruto con el juego y sé que solo pasa dentro del círculo mágico. A esto se le llama;Disonancia ludonarrativa;Paradoja del fracaso;;;2
En la experiencia de juego, la relación entre acción y resultado NO es;Discernible;Integrada;Separada;;3
Un duende que explica cómo lanzar un hechizo es un;Personaje;Objeto;Sujeto;;1
¿Dónde hay re-mediación tecnológica?;Videojuego;Parchís;Tenis;;1
Mi meta en el juego es vencer al rival. Soy un jugador;Killer;Socializador;Explorador;;1
El jugador es/ tiene;Eterno;a veces intencionalidad;Humano;;3
La estructura narrativa se compone de Planteamiento, ..., y desenlace;Nudo;Medio;Intriga;;1
Las reglas;son ambiguas;son cambiantes;limitan la acción del jugador;;3
