pregunta;opcion1;opcion2;opcion3;Opcion4;correcta
Para Juul, es importante que el jugador haga un esfuerzo físico para ser considerado juego.;Verdadero;Falso;;;2
Para que algo tenga sentido como juego, su resultado final no tan sólo debe ser valorable sino también comparable.;Verdadero;Falso;;;1
La libertad en el juego nace de la falta de reglas.;Verdadero;Falso;;;2
El acercamiento de juegos del lenguaje de Wittgenstein sugiere que la definición correcta de juego todavía no se ha encontrado y hay que seguir buscándola para construir el campo de estudio como es debido.;Verdadero;Falso;;;2
"El trabajo de Huizinga se centra en ""jugar"" (""play"") y deja el juego (""game"") de lado.";Verdadero;Falso;;;1
El estudio de los juegos de Suits se basa en la fábula de la liebre y la tortuga.;Verdadero;Falso;;;2
Competir contra un amigo al tres en raya es un juego de puro alea.;Verdadero;Falso;;;1
Para Caillois, jugar debe ser improductivo e incierto.;Verdadero;Falso;;;1
Avedon & Sutton-Smith fueron los primeros en hablar del conflicto (o disputa entre fuerzas) como elemento característico del juego.;Verdadero;Falso;;;1
El juego de la gallina ciega consiste en que un jugador, con los ojos vendados, debe encontrar e identificar al resto. Como el jugador se convierte en una gallina, su categoría es la de simulacro, como el teatro y demás espectáculos.;Verdadero;Falso;;;2
Chris Crawford, diseñador, elaboró una definición de juego basada en el juego digital, que por lo tanto era completamente distinta que las anteriores.;Verdadero;Falso;;;2
Conducir un coche por la ciudad, respetando las indicaciones y señales de tráfico (las reglas), puede ser considerado un juego.;Verdadero;Falso;;;2
El círculo mágico es una separación imaginaria entre el espacio/tiempo de juego y el espacio/tiempo de la vida real.;Verdadero;Falso;;;1
Sin reglas, el juego no tendría sentido.;Verdadero;Falso;;;1
Un juego de competición, agôn, no puede tener elementos de otras categorías.;Verdadero;Falso;;;2
Los videojuegos, como su propio nombre indica, siempre deben ser juegos.;Verdadero;Falso;;;2
"Para Zimmerman, la diferencia entre el ""jugar"" (""play"") puro y el ""juego"" (""game"") se encuentra básicamente en la ausencia o presencia de conflicto.";Verdadero;Falso;;;1
El tres en raya puede llegar a dominarse fácilmente. Dos jugadores expertos siempre terminarán en empate. En esa situación, el tres en raya sigue siendo un juego.;Verdadero;Falso;;;1
Caillois divide los juegos en cuatro categorías: agôn, alea, paidia e ilinx.;Verdadero;Falso;;;2
Huizinga, en Homo Ludens, estudia el juego desde la perspectiva de su utilidad.;Verdadero;Falso;;;2
