pregunta;opcion1;opcion2;opcion3;opcion4;correcta
“Lo que permite la gamificación es que los vendedores se centren en lo que mejor hacen utilizando una potente caja de herramientas cosechada de los juegos”;Gamificación;Explotationware;“Flexibilización” laboral;Ludictadura;1
¿A quién considera Chaplin que beneficia la gamificación por encima de la gente ordinaria?;Políticos;Equipos directivos;Corporaciones;Usuarios;3
Los juegos ofrecen formas fundamentalmente distintas de caracterizar...;Ideas;Proyectos;Aventuras;Narrativas;4
¿Cuál es una de las PREOCUPACIONES sobre el uso de la gamificación en entornos de aprendizaje?;Manipulación de usuarios;No tener tablets;Falta de interés del alumnado;Alto coste de proyectos;1
Plataforma de aprendizaje de idiomas más grande del mundo, donde cualquier persona puede aprender otro idioma haciéndose responsable de su propio ritmo.;Classdojo;Duolingo;Genially;Ribbon Hero;2
Herramienta que permite gamificar el aula y que aporta, como principal característica, la conexión constante de los alumnos con sus padres a través de la aplicación;Ribbon Hero;Carmen San Diego;Duolingo;Classdojo;4
Los estudiantes pueden ayudar a traducir páginas web y documentos mientras aprenden idiomas con el...;ExploraODS;Alianza Tierra Khoi;Duolingo;Math Blaster;3
La imposición del juego dentro de los entornos laborales o formativos se conoce como...;Manipulación del comportamiento;Explotationware;Ludictadura;Flexibilidad laboral;3
Chaplin afirma que la gamificación puede ser una idea...;Tremendista;Equivocada;Banal;Populista;3
Los juegos permiten considerar la complejidad de los sistemas sin caer en...;Respuestas modales;Respuestas complejas;Respuestas simplistas;Reglas establecidas;3
Autor que destaca que la gamificación persigue centrar a los vendedores en convencer a los consumidores para que sean leales y compren;Chaplin;Zichermann;Francisco Mora;Joseph Campbell;2
Define la gamificación como el poder que tienen los juegos y que usan las empresas, para el beneficio económico;Classdojo;Flexibilidad laboral;Exploitationware;Ludictadura;3
Juegos construidos por Office Labs con el fin de ayudar a los usuarios a explorar las novedades incluidas en Office 2007 y Office 2010;Classcraft;Duolingo;Classdojo;Ribbon Hero;4
¿Qué autor cambiaría el concepto de gamificación por 'exploitationware' para reflejar su visión negativa sobre su uso?;Bogost;Cesar Milstein;Zichermann;Chaplin;1
El juego, como Ribbon Hero, ¿es gamificación?;Ninguna es correcta;Sí;No;Siempre;2
"""Autorrealización se ve en ocasiones sustituida por una mecánica que es impuesta desde arriba""";Ludictadura;Gamificación;“Flexibilización” laboral;Exploitationware;1
¿Qué herramienta tiene como lema “Clases más felices”?;Classdojo;Ribbon Hero;Duolingo;Classcraft;1
Subiendo de niveles en Duolingo, vamos obteniendo...;Insignias;Monedas;Avatares;Lingots;4
Herramienta que permite gamificar el aula y que aporta, como principal característica, la conexión constante de los alumnos con sus padres a través de la aplicación;Carmen San Diego;Classdojo;Duolingo;Ribbon Hero;2
