pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Para el Game Designer, cuántos más conocimientos de materias diversas, mejor.;Cierto;Falso;;;1
Idealmente, el prototipo de un videojuego deberá ser siempre digital y asemejarse al producto final.;Cierto;Falso;;;2
Los prototipos, en general, son rudimentarios para que sean más fáciles de probar.;Cierto;Falso;;;1
La mejor forma de tener más ideas es jugar más a juegos en general.;Cierto;Falso;;;1
Es importante considerar las restricciones propias del entorno desde el inicio, de tal forma que se pueden incluso incorporar a la formalización del problema.;Cierto;Falso;;;1
El ciclo de desarrollo termina con el primer prototipo.;Cierto;Falso;;;2
"Si el contenido ""Serious"" es estático, las libertades de diseño son, a priori, mayores.";Cierto;Falso;;;1
"Conectar la parte ""Serious"" con la de ""Juego"" es algo que ocurre de forma natural.";Cierto;Falso;;;2
Para mejorar las posibilidades de éxito, se recomienda un proceso de diseño que se centre en el usuario.;Cierto;Falso;;;1
El diseñador del juego no tiene necesidad de interactuar con el equipo de la parte de desarrollo.;Cierto;Falso;;;2
Es recomendable mostrar el objetivo principal del Serious Game para asegurar que los alumnos lo entienden y lo aceptan mejor.;Cierto;Falso;;;2
La audiencia se debe considerar sólo cuando el juego ya esté en etapas de implementación.;Cierto;Falso;;;2
Para diseñar bien un juego basta con seguir los pasos marcados en el ciclo de diseño.;Cierto;Falso;;;2
La habilidad básica del buen diseñador de juegos es saber hablar, comunicar y liderar los equipos para que ejecuten lo que él desea.;Cierto;Falso;;;2
Cuando al Game Designer le faltan conocimientos del ámbito en el que tiene que diseñar, lo mejor es asociarse con expertos en ese ámbito.;Cierto;Falso;;;1
Una vez definido el problema, los expertos en la materia ya no son útiles en ningún otro punto del sistema porque no dominan temas de diseño o desarrollo.;Cierto;Falso;;;2
El diseño de un Serious Game empieza con la definición del objetivo característico y la formalización del problema al que se pretende dar respuesta.;Cierto;Falso;;;1
Tener ideas para la implementación de un Serious Game es fácil.;Cierto;Falso;;;2
Hay comentarios de testers que pueden descartarse sin analizarlos, puesto que el diseñador entiende más que los testers.;Cierto;Falso;;;2
"Es recomendable generar pocas ideas pero creíbles; las ideas locas se deben descartar e, incluso, evitar mencionar.";Cierto;Falso;;;2
