Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Correcta (1-4)
Desde el punto de vista gramatical, ¿en cuántas partes se divide una narración?;Historia y relato;Relato y discurso;Historia y discurso;Historia, relato y discurso;4
El paradigma clásico, según Aristóteles, presenta una estructura básica en cualquier tipo de narración, ¿cuál es?;Planteamiento y conclusión;Planteamiento, clímax y desenlace;Planteamiento, desarrollo y conclusión;Planteamiento, desarrollo, clímax y conclusión;3
¿Qué es la narrativa audiovisual?;Disciplina universitaria cuyo objetivo es analizar científicamente los textos narrativos audiovisuales.;Conjunto de elementos sonoros e icónicos que conforman un texto.;El arte de contar historias;Ciencia que estudia los textos narrativos;1
Según su definición, es la configuración de un modelo de mundo en un discurso concreto, con unas reglas internas coherentes.;Diégesis;Anisocronía;Isocronía;Analepsis;1
¿Qué parte del relato estudia la morfología narrativa?;Estructura de los textos narrativos;Teoría de las clasificaciones;Técnicas de creación de los relatos;;1
¿Cuáles son los componentes de la narratología?;Relato, discurso, y narración;Narración y discurso;Historia, texto y narración;Relato, historia y narración;4
¿Qué tipo de narrativa no es audiovisual?;Narrativa radiofónica;Narrativa fílmica;Narrativa publicitaria;Narrativa poética;4
¿Para qué surgen las formas expresivas en la narrativa audiovisual?;Vincular las acciones y diálogos de los personajes;Interrelacionar diversos códigos audiovisuales que conforman el relato;Dar origen a los relatos y textos audiovisuales;Acentuar el énfasis sobre un conjunto de situaciones bien diseñadas y entrelazadas;3
¿Cuál es la teoría, relacionada con la narrativa audiovisual, que no sigue vigente en la actualidad?;Teoría del campo;Estudios pragmáticos;Estudios sintomáticos;Teoría de las clasificaciones;4
¿En qué se caracterizan las narraciones actuales de las tradicionales?;Unidireccionalidad;Bidireccionalidad;Textualidad;Temporalidad;2
¿Quién fue el precursor de la narratología?;Platón;Genette;Aristóteles;Todorov;2
Los subgéneros como el telefilm, tv movies, teleteatro, entre otros, ¿a qué hipergénero pertenece?;Hipergénero de variedades y entretenimiento;Hipergénero docudramático;Hipergénero informativo;Hipergénero ficcional;4
¿A qué no se ve expuesta la narrativa audiovisual con el desarrollo de los medios?;Rechazo por las teorías culturales;Enfoque comercial y Competitividad;Canales masivos;Interpretación de la realidad;1
Según las teorías de Greimas, el relato está conformado por los siguientes elementos:;Sujeto, Destinatario, Ayudante, Oponente, Destinador, Objeto;Narrador y Enunciador;Agresor y Héroe;Donante y Mandatario;1
¿Cuál no pertenece a la analítica narrativa?;Fenomenológico;Estructuralista;Semiológico;Cognitivista;4
Atendiendo a la taxonomía narrativa, ¿Qué niveles de clasificaciones existe?;Intercontenido, Interrelatos e Interdiscurso;Interlenguajes, Intersoportes e Interdiscurso;Interlenguajes, Intercontenido e Interrelatos;Interlenguajes, Intersoportes e Intergéneros;4
Con el desarrollo y evolución de las industrias culturales, los géneros audiovisuales evolucionaron en los siguientes:;Géneros literarios;Géneros cinematográficos e Hipergéneros televisivos;Géneros poéticos;Hipergéneros narrativos y digitales;2
¿Quién fue el pionero de los estudios y teorías de la narrativa?;Aristóteles;Platón;Greimas;Todorov;3
¿Desde qué perspectivas se puede estudiar el relato?;Morfología narrativa, Semántica y poética narrativa e Ideología narrativa;Taxonomía narrativa, Cognición narrativa y Narrativa hermenéutica;Morfología narrativa, Semántica y poética narrativa, Pragmática narrativa y Sintaxis narrativa;Sintaxis narrativa, Analítica narrativa y Narrativa iconológica;3
¿Qué elementos no conforman la sintaxis narrativa?;Movimiento de la cámara y profundidad de campo;Iluminación/color/efectos y racord;Planos, Ángulos, Composición;Figuras retóricas;4
Se define como «la apropiación de las posibilidades que ofrece el lenguaje audiovisual para crear el discurso fílmico».;Relato;Narrador;Enunciado;Enunciación;4
¿Qué son las anacrónicas?;Desfase entre los hechos en la historia y en el discurs;Salto hacia un tiempo alternativo en el discurso;Ordenación de la historia de forma lógica y secuencial;La distancia que separa el presente del momento pasado o futuro del relato;1
¿Qué tipo de fuente de sonido no forma parte de la narración y tampoco guarda relación física con la proyección de la imagen?;Diegético;Focalización;Extradiegético;Voz en off;4
La proyección de ideas y focalización ¿A qué variable narrativa pertenece?;Óptico;Epistémico;Cognitivo;Metafórico;4
¿Qué perspectivas no estudia al personaje desde el nivel formal?;Como persona;Como narrador;Como rol;Como actante;3
¿Cuáles son los elementos básicos que componen un espacio narrativo?;Decorado y Escenario;Decorado, Ámbito, Escenario, Espacio Narrativo y Entorno;Entorno y Atmósfera;Naturaleza Espacio Narrativo y Ubicación;2
¿Qué tipo de narrador es el sujeto de la historia y cuenta su propia historia?;Heterodigético;Autodigético;Diegético;Homodiegético;2
Poderoso recurso narrativo, gracias a la versatilidad de sus técnicas y su vocación discursiva.;Imagen;Música;Escenario;Personaje;2
Son aquellos personajes que remiten a la cultura y a unos roles, reconocidos por el narratario, como pueden ser los personajes históricos, mitológicos, etc.;Conectores;Referenciales;Anafóricos;Deícticos;2
Dentro de las funciones del espacio es «aquella que representa los estados de ánimo de los personajes».;Función atmosférica;Función descriptiva;Función dramática;Función expresiva/reflexiva;4
Tipología dentro del concepto del espacio narrativo que aporta significado en ámbitos de abstracción y simbolización, configurando espacios psicológicos, sociales, ideológicos y morales.;Hodológico;Orgámico;Sintético;Homogéneo;1
La estructura básica del relato, planteada por Aristóteles, puede desarrollarse de forma desordenada, comenzando, por ejemplo, a narrar por el nudo de la historia. ¿A qué tipo de estructura nos referimos?;Circular;Contrapunto;In media res;In extrema res;3
¿En qué consiste la teoría de la audiovisión?;Configuración del discurso para depurar y agilizar los elementos del relato audiovisual;La imagen y el sonido se comprenden como elementos independientes.;Ninguna es correcta;Prescindir de la música, basándose solo en las imágenes de los relatos.;2
El tiempo narrativo ¿Por qué elementos está conformado?;Enunciación, Historia, Discurso;Historia, Discurso;Orden, Frecuencia, Duración;Historia, Duración, Frecuencia;3
En el relato, las relaciones entre sujeto-objeto pueden ser variadas. Cuando el sujeto no posee el objeto que desea ¿Cómo denominamos a esta relación?;Relación de disjunción;Relación de no disjunción;Relación de conjunción;Relación de no conjunción;1
Según los teóricos del cine, existen tres tipos de tiempos narrativos. ¿Cuáles son?;Tiempo de enunciación y tiempo del discurso;Tiempo externo e interno;Tiempo de percepción y tiempo del discurso;Tiempo de proyección, de percepción y de acción;4
¿Para qué corriente teórica el personaje es considerado como texto?;Formalistas rusos;Cognitivistas;Pragmatismo;Estructuralistas;4
Señala los cuatro elementos esenciales que componen la acción narrativa.;Acontecimientos y Comportamientos;Hecho, Acontecimiento, Acto y Acción narrativa;Hecho, Discurso y Acto;Hecho, Discurso y Acción narrativa;2
Duración dietética de la historia narrada, tiempo en el que se desarrolla la película.;Tiempo de percepción;Tiempo de proyección;Tiempo de enunciación;Tiempo de acción;4
Relación entre el movimiento de la cámara y el movimiento del personaje.;Espacio orgámico/inorgámico;Espacio hodológico;Espacio presente/ausente;Espacio estático/dinámico;4
En la actualidad, con el desarrollo de las tecnologías digitales, la televisión se caracteriza por ser:;Un medio en constante evolución tecnológica;Un medio multifuncional;Un medio lineal y ordenado;Un medio de comunicación social interactivo;4
¿Cuál es el concepto cuya finalidad es motivar al jugador en los videojuegos?;Arcade gamer;Casual gamers;Video gamer;Serious games;4
¿Qué obra fue la precursora de la irrupción de las tecnologías digitales en la gran pantalla?;Tron;Jurassic Park;Toy Story;Star Wars;1
¿Por qué se caracteriza el relato digital?;Estructura fija;Interactividad;No linealidad;Linealidad;2
¿Qué tipo de relato se caracteriza por una historia línea, fija y con un guion preestablecido?;Interactivos;Tradicionales;Secuenciales;Multimedia;4
Hace referencia a la forma en el que el usuario puede acceder a la historia.;Interactividad;Espacio;Estructura;Orden;4
Se define como «disponer de ciertas habilidades que ayuden al individuo a buscar, obtener, procesar y comunicar información con el objetivo de transformarla en conocimiento»;Competencia mediática;Alfabetización informacional;Alfabetización digital;Alfabetización audiovisual;4
La competencia mediática está conformada por seis dimensiones ¿Cuáles corresponden a la alfabetización digital?;Tecnología y Lenguaje;Procesos de producción y difusión;Dimensión estética;Procesos de recepción e interacción;1
¿Qué medio es el precursor del cine dentro de la narrativa audiovisual?;Videojuego;Prensa;Cómic;Televisión;3
Característica de la narrativa digital, relacionada con el poder de almacenamiento y conexión de información con el usuario.;Espacialidad;Enciclopedismo;Participación;Sucesividad;2
En la narración digital, ¿Qué tipo de interacción es aquella en que el espectador se limita a seleccionar entre todas las opciones que se les ofrece?;Interactividad selectiva;Interactividad constructiva;Interactividad transformativa;Interactividad delimitada;1
¿A qué llamamos «universos expandidos»?;Nacimiento de los relatos interactivos a través del uso de Internet.;Evolución de los relatos audiovisuales a los relatos digitales.;Colecciones materiales ligadas a una película a través del uso de otros formatos y soportes mediáticos.;Expansión del mundo multimedia.;3
Para el desarrollo de una narración digital, ¿qué elemento no se ha de tomar en cuenta?;Orden;Estructura;Grado de interactividad;Tiempo;4
¿Qué elementos de la narrativa audiovisual no tienen cabida en el nuevo panorama audiovisual?;Diégesis;Narrador y Mimesis;Secuencia y Diégesis;Mimesis y Diégesis;4
¿Qué tipo de relación convierte a la imagen en una formulación plástica del comportamiento y del concepto gestualizado?;Relación digital;Relación analógica;Relación arbitraria;Relación virtual;4
¿Cuáles son los tres modelos más relevantes de la narrativa digital utilizados en educación?;Infografías;Novelas gráficas;Narrativa personal, Documentales y Relatos Digitales;Vídeos digitales;3
La Web permite compartir información y producir conocimiento desde el punto de vista del usuario, estableciendo un nuevo concepto en la construcción de la información.;Multinarrativa;Multimedialidad;Multitextualidad;Multiexpresividad;4
Las nuevas pantallas, ¿Por qué tipo de retroalimentación se caracterizan?;Interactiva;Unidireccional;Bidireccional;Multimedia;2
¿Qué sujeto (personaje digital) se define como un estado anterior a la adquisición de la competencia narrativa?;Sujeto lineal;Sujeto virtual;Sujeto actualizado;Sujeto realizado;2
Dentro de la estructura no lineal del diseño narrativo, hay un modelo de estructura que se caracteriza por escenas con diferentes opciones a seleccionar y que conducen a múltiples sucesos.;Mixta;Paralelas;Ramificada;Circular;3
¿Qué tipo de interactividad está ligada a los contenidos transmitidos?;Mixta;Transformativa;Selectiva;Constructiva;3
Se trata de aquellos individuos que consumen información para existir;Prosumidores;Inmigrantes digitales;Infornívoros;Nativos digitales;3
¿Qué determina el nuevo entorno digital?;La linealidad y asimetría;La cultura de participación;El carácter homogéneo;Los modelos de producción cerrados;2
¿Cuál es el tándem perfecto a la hora de comunicar, difundir y evaluar conocimientos en el aula?;Entornos de colaboración y contenido textual;Narrativa digital y entornos de colaboración;Narrativa audiovisual y entornos de colaboración;Narrativa audiovisual y animación;2
¿Qué es hipermedia?;Combinación de sonido e imagen;Nueva herramienta informática;Estructura de metaprendizaje;Espacio de interacción y de mediaciones;4
¿Qué es la convergencia mediática?;Transformación del ecosistema digital en transmedia;Transformación de los medios de comunicación tradicionales a causa del nacimiento de la tecnología digital;Transformación de los métodos de aprendizaje en la escuela;Transformación de las habilidades y capacidades del consumidor en la era digital;2
¿Qué son las webseries?;Producciones realizadas a través del uso de una cámara estática;Ficción televisiva con un tratamiento audiovisual sencillo;Contenidos exclusivamente para la Web;Entornos de colaboración digital;3
Unión de dos o más mundos narrativos, mezclando tramas, personajes, etc.;Recapitulaciones;Opening;Mashups;Adaptaciones;3
¿Qué tres criterios son necesarios para conseguir una correcta interactividad?;Complejidad del diálogo, tiempo de respuesta y soporte digital;Tiempo de respuesta, soporte digital y calidad de los resultados;Tiempo de respuesta, calidad de los resultados y complejidad del diálogo;Calidad de los resultados, complejidad del diálogo y soporte digital;4
¿Cuál es la perfecta combinación para conseguir un producto multimedia?;Sonido + gráficos + animación;Sonido + texto + gráficos;Sonido + imagen + gráficos;Sonido + animación + imagen;1
¿Qué tipos de narración interactiva ofrece al usuario la posibilidad de interactuar en un mismo mundo virtual?;Narrativas de historias paralelas;Narrativas de entornos variables;Narrativas de aventuras-mundo;Narración de varios jugadores;4
¿Cómo se explica la autoetnografía?;Técnica de reflexión y autoevaluación en referencia a la participación e implicación en los procesos de aprendizaje;Soporte narrativo que vislumbra una posibilidad de incorporar actividades a nivel académico;Descripción de la escena cultural en la que participan, haciendo uso de texto, sonido, imágenes en movimiento, etc.;Diseño educativo basado en el concepto de multimedialidad;3
¿Qué relación, hasta ahora asimétrica, se ha fisurado con la inclusión de los contenidos digitales en las nuevas formas de narrar?;Producto y entorno comunicativo;Productor y usuario;Usuario y contenido;Contenido y soporte;3
¿Por qué se caracteriza el hipertexto?;Linealidad;Relación de orden;Asimetría;No linealidad;4
El lector puede modificar la historia a través de la autonomía compartida por varios usuarios;Hiperficción participativa;Hiperficción selectiva;Hiperficción explorativa;Hiperficción constructiva;4
¿Quién instauró el término de «prosumidor»?;McLuhan y Nevitt;Toffler;Jenkins;Cebrián;1
¿En qué se diferencia el consumidor tradicional del nuevo «prosumidor»?;Observador y consumidor de contenidos;Productor y observador de contenidos;Consumidor y productor de contenidos;Consumidor y formador de contenidos;3
¿En qué consiste el fenómeno «fan»?;Satisfacción personal de crear un producto propio basado en el mundo narrativo;Organismos que consumen información para existir;Mezclar los diversos recursos que te ofrece la Web con el fin de favorecer la comprensión y apropiación de la historia;Uso de la imagen como instrumento principal para contar historias a través de Internet;1
¿Cuáles son las principales características de los llamados “nativos digitales”?;Adquisición de habilidades digitales en la escuela;Falta de habilidades digitales;Orden y asimetría;Competencias digitales;4
En el nuevo sistema comunicativo ¿En qué se convierte el consumidor de contenidos?;Vinculador;Observador;Productor;Mediador;3
¿Qué dimensión evalúa la elaboración de un story-board?;Didáctica;Digital;Narrativa;Creativa;3
¿Qué término se define como «la habilidad para leer, escribir e interactuar en un amplio rango de plataformas, herramientas y medios»?;Convergencia mediática;Alfabetización digital;Transliteracy;Alfabetización audiovisual;4
¿Cómo se llama a la nueva estructura de un relato digital?;Paradigma narrativo;Paradigma tripartito;Paradigma del ciclo heroico;Paradigma del héroe;3
¿Qué es un tagging?;Modelo digital;Modelo de aprendizaje;Modelo cualificativo;Modelo narrativo;4
