Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Correcta (1-4)
Desde el punto de vista gramatical, ¿en cuántas partes se divide una narración?;Historia y relato;Relato y discurso;Historia y discurso;Historia, relato y discurso;3
El paradigma clásico, según Aristóteles, presenta una estructura básica en cualquier tipo de narración, ¿cuál es?;Planteamiento y conclusión;Planteamiento, clímax y desenlace;Planteamiento, desarrollo y conclusión;Planteamiento, desarrollo, clímax y conclusión;3
¿Qué es la narrativa audiovisual?;Disciplina universitaria cuyo objetivo es analizar científicamente los textos narrativos audiovisuales.;Conjunto de elementos sonoros e icónicos que conforman un texto.;El arte de contar historias;Ciencia que estudia los textos narrativos;1
Según su definición, es la configuración de un modelo de mundo en un discurso concreto, con unas reglas internas coherentes.;Diégesis;Anisocronía;Isocronía;Analepsis;1
¿Qué parte del relato estudia la morfología narrativa?;Estructura de los textos narrativos;Teoría de las clasificaciones;Técnicas de creación de los relatos;;1
¿Cuáles son los componentes de la narratología?;Relato, discurso, y narración;Narración y discurso;Historia, texto y narración;Relato, historia y narración;4
¿Qué tipo de narrativa no es audiovisual?;Narrativa radiofónica;Narrativa fílmica;Narrativa publicitaria;Narrativa poética;4
¿Para qué surgen las formas expresivas en la narrativa audiovisual?;Vincular las acciones y diálogos de los personajes;Interrelacionar diversos códigos audiovisuales que conforman el relato;Dar origen a los relatos y textos audiovisuales;Acentuar el énfasis sobre un conjunto de situaciones bien diseñadas y entrelazadas;3
¿Cuál es la teoría, relacionada con la narrativa audiovisual, que no sigue vigente en la actualidad?;Teoría del campo;Estudios pragmáticos;Estudios sintomáticos;Teoría de las clasificaciones;4
¿En qué se caracterizan las narraciones actuales de las tradicionales?;Unidireccionalidad;Bidireccionalidad;Textualidad;Temporalidad;2
¿Quién fue el precursor de la narratología?;Platón;Genette;Aristóteles;Todorov;2
Los subgéneros como el telefilm, tv movies, teleteatro, entre otros, ¿a qué hipergénero pertenece?;Hipergénero de variedades y entretenimiento;Hipergénero docudramático;Hipergénero informativo;Hipergénero ficcional;4
¿A qué no se ve expuesta la narrativa audiovisual con el desarrollo de los medios?;Rechazo por las teorías culturales;Enfoque comercial y Competitividad;Canales masivos;Interpretación de la realidad;1
Según las teorías de Greimas, el relato está conformado por los siguientes elementos:;Sujeto, Destinatario, Ayudante, Oponente, Destinador, Objeto;Narrador y Enunciador;Agresor y Héroe;Donante y Mandatario;1
¿Cuál no pertenece a la analítica narrativa?;Fenomenológico;Estructuralista;Semiológico;Cognitivista;4
Atendiendo a la taxonomía narrativa, ¿Qué niveles de clasificaciones existe?;Intercontenido, Interrelatos e Interdiscurso;Interlenguajes, Intersoportes e Interdiscurso;Interlenguajes, Intercontenido e Interrelatos;Interlenguajes, Intersoportes e Intergéneros;4
Con el desarrollo y evolución de las industrias culturales, los géneros audiovisuales evolucionaron en los siguientes:;Géneros literarios;Géneros cinematográficos e Hipergéneros televisivos;Géneros poéticos;Hipergéneros narrativos y digitales;2
¿Quién fue el pionero de los estudios y teorías de la narrativa?;Aristóteles;Platón;Greimas;Todorov;2
¿Desde qué perspectivas se puede estudiar el relato?;Morfología narrativa, Semántica y poética narrativa e Ideología narrativa;Taxonomía narrativa, Cognición narrativa y Narrativa hermenéutica;Morfología narrativa, Semántica y poética narrativa, Pragmática narrativa y Sintaxis narrativa;Sintaxis narrativa, Analítica narrativa y Narrativa iconológica;3
¿Qué elementos no conforman la sintaxis narrativa?;Movimiento de la cámara y profundidad de campo;Iluminación/color/efectos y racord;Planos, Ángulos, Composición;Figuras retóricas;4
