pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿A qué marco pertenece la construcción de infraestructuras, metodología de dispositivos y gestión de usuarios en la biblia transmedia?;Tratamiento;Especificaciones de diseño;Marketing;Especificaciones tecnológicas;4
¿Qué es la biblia transmedia?;Catálogo de instrucciones para crear un proyecto transmedia;Documento que atestigua que el producto es transmedia;Libro de estilo que determina cómo realizar un correcto proyecto transmedia;Catálogo de instrucciones, determinando los parámetros narrativos y de producción;4
¿Qué define los soportes utilizados en la biblia transmedia?;Guiones;Plataformas y canales;Visión general del servicio;Formulario multiplataforma;4
¿Con qué tipo de soporte podemos grabar y emitir entrevistas y testimonios?;Vídeos;Podcast;Juegos;Apps;2
¿Quién señala que la narrativa transmedia es el arte de construir universos?;Lambert;Bakioglu;Dena;Ferrarelli;2
¿Qué tipo de transmedia actúa como gancho para captar al consumidor?;Transmedia intercomposicionales;Transmedia ultracomposicionales;Transmedia intracomposicionales;Transmedia extracomposicionales;1
¿Cuál es el mayor inconveniente de la narrativa transmedia?;No existen delimitaciones técnicas para la producción de las narraciones;Creatividad para la construcción de historias;Insuficiente competencia mediática;Factores muy explotados;3
¿En qué consiste la serialidad según Jenkins?;Coherencia y la credibilidad de los universos desarrollados;Habilidad y compromiso de los espectadores por transmitir y difundir los contenidos;Creación de fragmentos significativos de una historia para ser emitido a través de diferentes entregas;Búsqueda de información sobre el universo y las posibles extensiones;3
¿Qué soporte favorece a la comprensión del alumnado por sus aspectos visuales?;Cómic digital;Videojuegos;Redes sociales;Wikis;1
¿Qué funciona como enlace para acceder a los contenidos web?;E-books;Infografías;Código QR;Apps;3
¿Qué principio está ligado a la habilidad y compromiso de los espectadores por transmitir y difundir los contenidos?;Expansión;Continuidad;Multiplicidad;Profundidad;1
¿De cuántas partes se conforma la biblia transmedia?;Cinco;Tres;Seis;Cuatro;1
Si una historia comienza en un cómic y finaliza en una web interactiva, ¿de qué tipo de transmedia hablamos?;Transmedia intracomposicionales;Transmedia intercomposicionales;Transmedia ultracomposicionales;Transmedia extracomposicionales;1
¿Qué proyecto transmedia se caracteriza por un relato basado en la ficción?;Tecnologías emergentes;Tecnologías de la Información y la Comunicación;Vasily;Serie Mad Men;4
¿Qué medios producen precuelas, secuelas y spin off?;Tv, cine, libros y cómics;Videojuegos y redes sociales;Wikis;Apps;1
¿Dónde se encuentra el target de la audiencia en la biblia transmedia?;Especificaciones de diseño;Marketing;Tratamiento;Especificaciones funcionales;2
¿Qué modelo transmedia no tiene una macrohistoria única?;Transmedia;Multiplataforma;Multimedia;Crossmedia;1
¿Qué principio señala que la narrativa se complementa con el mundo real y digital?;Subjetividad;Construcción de mundos;Serialidad;Ejecución;2
¿Cuál es un beneficio de la narrativa transmedia?;Insuficiente competencia mediática;Falta de modernización de los métodos didácticos;Favorece el recuerdo y la memoria;No promueve el uso del pensamiento y el diálogo;3
¿Cuál es una obra de Henry Jenkins?;La textualidad des-bordada: transmedia y educación en la cultura digital;Fans, piratas de textos y videojuegos;Star War: Fan Writing as Textual Poaching;Digital Storytelling: capturing lives, creating community;2
