Pregunta,Respuesta correcta,Justificación,Información del resto de opciones
"Desde el punto de vista gramatical, ¿en cuántas partes se divide una narración?",Historia y discurso,"Según el documento (p. 7), una narración se divide en dos niveles gramaticales: historia (contenido) y discurso (forma en que se cuenta).","• Historia y relato: mezcla categorías de niveles distintos.
• Relato y discurso: ambos son formas, pero falta el contenido (historia).
• Historia, relato y discurso: esta división corresponde al enfoque narratológico (Genette), no al gramatical."
"El paradigma clásico, según Aristóteles, presenta una estructura básica en cualquier tipo de narración, ¿cuál es?","Planteamiento, desarrollo y conclusión","El documento (p. 12) describe el paradigma aristotélico como una estructura narrativa con tres actos: planteamiento, desarrollo y conclusión.","• Planteamiento y conclusión: omite el desarrollo, esencial en el modelo.
• Planteamiento, clímax y desenlace: clímax es propio de modelos modernos.
• Planteamiento, desarrollo, clímax y conclusión: más detallado pero no fiel al modelo aristotélico."
¿Qué es la narrativa audiovisual?,Disciplina universitaria cuyo objetivo es analizar científicamente los textos narrativos audiovisuales.,En la página 7 se define la narrativa audiovisual como una disciplina académica enfocada en el análisis teórico-práctico de textos audiovisuales.,"• Conjunto de elementos sonoros e icónicos que conforman un texto: es una descripción parcial del texto audiovisual.
• El arte de contar historias: demasiado general, no define su carácter académico.
• Ciencia que estudia los textos narrativos: definición de narratología, no específicamente audiovisual."
"Según su definición, es la configuración de un modelo de mundo en un discurso concreto, con unas reglas internas coherentes.",Diégesis,"El documento (p. 19) define la diégesis como el mundo narrativo creado en el discurso, con sus propias reglas internas.","• Anisocronía: alteración del orden temporal (más rápido).
• Isocronía: coincidencia entre tiempo del discurso y de la historia.
• Analepsis: retrospección o salto atrás en el tiempo narrativo."
¿Qué parte del relato estudia la morfología narrativa?,Estructura de los textos narrativos,"Según el documento (p. 8), la morfología narrativa se ocupa de la estructura formal de los textos narrativos.","• Teoría de las clasificaciones: se vincula con la taxonomía narrativa.
• Técnicas de creación de los relatos: pertenece a la poética, no a la morfología."
¿Cuáles son los componentes de la narratología?,"Relato, historia y narración","En la página 6 del documento se señalan los tres componentes fundamentales de la narratología según Genette: relato (texto), historia (contenido) y narración (acto de narrar).","• Relato, discurso y narración: 'discurso' no es uno de los tres elementos reconocidos por Genette.
• Narración y discurso: incompleto, omite el contenido.
• Historia, texto y narración: el término correcto es 'relato', no 'texto'."
¿Qué tipo de narrativa no es audiovisual?,Narrativa poética,"Según el documento (p. 7), la narrativa poética no forma parte de la narrativa audiovisual, que incluye formas como la fílmica, radiofónica o publicitaria.","• Narrativa radiofónica: sí es audiovisual, aunque solo auditiva.
• Narrativa fílmica: claramente audiovisual.
• Narrativa publicitaria: forma de comunicación audiovisual."
¿Para qué surgen las formas expresivas en la narrativa audiovisual?,Dar origen a los relatos y textos audiovisuales,El documento (p. 21) señala que las formas expresivas audiovisuales surgen para construir los relatos y dotarlos de coherencia narrativa.,"• Vincular acciones y diálogos: función narrativa, pero no finalidad.
• Interrelacionar códigos: parte del proceso, no su propósito principal.
• Acentuar el énfasis: efecto, no finalidad inicial."
"¿Cuál es la teoría, relacionada con la narrativa audiovisual, que no sigue vigente en la actualidad?",Teoría de las clasificaciones,"En la página 16 se indican varias teorías vigentes (campo, sintomáticos, pragmáticos), pero la teoría de las clasificaciones ya no se utiliza.","• Teoría del campo: vigente, analiza el punto de vista.
• Estudios sintomáticos: enfoque moderno desde Bordwell.
• Estudios pragmáticos: centrados en el espectador, siguen vigentes."
¿En qué se caracterizan las narraciones actuales de las tradicionales?,Bidireccionalidad,"El documento (p. 20) explica que las narraciones contemporáneas, sobre todo digitales, se caracterizan por la bidireccionalidad: el espectador puede interactuar.","• Unidireccionalidad: propio de medios tradicionales.
• Textualidad: característica común, no diferencia clave.
• Temporalidad: también presente en ambas, no distintiva."
