Pregunta,Respuesta correcta,Justificación (según el documento),Información de las opciones incorrectas
¿Qué tipo de interactividad está ligada a los contenidos transmitidos?,Selectiva,"La interactividad selectiva permite al usuario elegir entre opciones que afectan el contenido recibido, sin modificarlo directamente.","• Mixta: combinación de varios tipos de interactividad, no específica.
• Transformativa: implica modificación del contenido.
• Constructiva: el usuario construye contenido nuevo."
Se trata de aquellos individuos que consumen información para existir,Infornívoros,Los infornívoros son definidos como individuos cuya identidad y existencia se alimentan del consumo constante de información.,"• Prosumidores: producen y consumen contenido.
• Nativos digitales: generación que ha crecido con tecnología.
• Inmigrantes digitales: adaptados a lo digital, no definidos por su consumo."
¿Qué determina el nuevo entorno digital?,La cultura de participación,"El entorno digital se basa en la colaboración, participación activa y co-creación de los usuarios.","• Linealidad y asimetría: características del modelo tradicional.
• Carácter homogéneo y modelos cerrados: opuestos a la lógica digital actual."
"¿Cuál es el tándem perfecto a la hora de comunicar, difundir y evaluar conocimientos en el aula?",Narrativa digital y entornos de colaboración,La narrativa digital unida a entornos colaborativos permite personalizar y potenciar el aprendizaje en red.,"• Audiovisual + colaboración: limitada frente a lo digital.
• Texto + colaboración: menos interactivo.
• Animación: recurso complementario, no eje central."
¿Qué es hipermedia?,Espacio de interacción y de mediaciones,"El término se refiere a entornos digitales donde convergen texto, imagen, sonido y acción del usuario en red.","• Combinación de sonido e imagen: muy limitada.
• Herramienta informática: concepto mucho más amplio.
• Estructura de metaprendizaje: no describe el entorno mediático."
¿Qué es la convergencia mediática?,Transformación de los medios de comunicación tradicionales a causa del nacimiento de la tecnología digital,"La convergencia mediática implica un proceso de transformación en el que los medios tradicionales se adaptan al entorno digital, permitiendo nuevas formas de producción y consumo de contenidos.","• Transmedia: hace referencia a la expansión de una narrativa en múltiples plataformas.
• Métodos escolares o habilidades del consumidor: no describen directamente la convergencia mediática."
¿Qué son las webseries?,Contenidos exclusivamente para la Web,"Las webseries son series creadas específicamente para su distribución en línea, no adaptaciones de otros medios.","• Cámara estática o sencillez: se refieren a formas técnicas, no a la definición.
• Entornos de colaboración digital: son espacios, no tipos de contenido."
"Unión de dos o más mundos narrativos, mezclando tramas, personajes, etc.",Mashups,Los mashups mezclan universos narrativos distintos generando una nueva historia con elementos reconocibles.,"• Recapitulaciones: resúmenes.
• Opening: apertura o introducción.
• Adaptaciones: reinterpretaciones, no fusiones."
¿Qué tres criterios son necesarios para conseguir una correcta interactividad?,"Tiempo de respuesta, calidad de los resultados y complejidad del diálogo","El documento indica que la interactividad efectiva se basa en tres parámetros clave: la inmediatez en la respuesta, la calidad del intercambio y la sofisticación del diálogo entre usuario y sistema.","• Calidad de los resultados, complejidad del diálogo y soporte digital: el soporte digital es necesario pero no es uno de los tres criterios centrales.
• Otras combinaciones omiten uno de los tres elementos esenciales o introducen uno irrelevante."
¿Cuál es la perfecta combinación para conseguir un producto multimedia?,Sonido + gráficos + animación,"Esta combinación genera un entorno digital atractivo, dinámico y completo.","• Las otras combinaciones no abarcan el dinamismo de la animación, esencial en un entorno multimedia."
¿Qué tipos de narración interactiva ofrece al usuario la posibilidad de interactuar en un mismo mundo virtual?,Narración de varios jugadores,Se refiere a la interacción simultánea de múltiples usuarios dentro del mismo espacio narrativo.,"• Historias paralelas o entornos variables no implican interacción compartida.
• Aventuras-mundo: inmersivas pero no necesariamente multijugador."
¿Cómo se explica la autoetnografía?,"Descripción de la escena cultural en la que participan, haciendo uso de texto, sonido, imágenes en movimiento, etc.","El documento define la autoetnografía como una narrativa que describe la escena cultural del autor mediante diversos lenguajes expresivos como texto, sonido e imagen.","• Diseño educativo basado en el concepto de multimedialidad: confunde el enfoque educativo con la definición narrativa.
• Técnica de reflexión y autoevaluación: es una utilidad, no la definición principal.
• Soporte narrativo para actividades académicas: se refiere a su aplicación, no a su esencia."
"¿Qué relación, hasta ahora asimétrica, se ha fisurado con la inclusión de los contenidos digitales en las nuevas formas de narrar?",Productor y usuario,"El documento señala que el entorno digital ha transformado la relación tradicional entre productor y usuario, haciendo que esta ya no sea unidireccional, sino colaborativa e interactiva.","• Usuario y contenido: el contenido es parte de la relación, pero el cambio clave es en los roles de creación y recepción.
• Producto y entorno comunicativo: más general y menos centrado en los sujetos activos.
• Contenido y soporte: relación técnica, no comunicativa."
¿Por qué se caracteriza el hipertexto?,No linealidad,"Permite navegar libremente entre nodos de información, rompiendo con la linealidad del texto impreso.","• Linealidad y orden: propias del texto tradicional.
• Asimetría: no es la característica principal."
El lector puede modificar la historia a través de la autonomía compartida por varios usuarios,Hiperficción constructiva,Este modelo permite la construcción colaborativa de historias con múltiples rutas y finales.,"• Participativa: implica participación, no necesariamente construcción.
• Selectiva y explorativa: implican opciones, no coautoría."
¿Quién instauró el término de «prosumidor»?,McLuhan y Nevitt,Ambos autores usaron este término para describir al nuevo usuario que consume y produce información.,"• Toffler lo popularizó más tarde, pero no fue el creador del término.
• Jenkins y Cebrián son figuras clave en la cultura digital, pero no en este término."
¿En qué se diferencia el consumidor tradicional del nuevo «prosumidor»?,Consumidor y productor de contenidos,"El prosumidor ya no es un receptor pasivo, sino un creador activo de contenidos digitales.",• Las otras opciones describen parcialmente el concepto o con términos imprecisos.
¿En qué consiste el fenómeno «fan»?,Satisfacción personal de crear un producto propio basado en el mundo narrativo,"Los fans reescriben, amplían o reinterpretan los mundos narrativos como forma de expresión creativa.",• Las demás opciones confunden el fenómeno fan con otros procesos o medios digitales.
¿Cuáles son las principales características de los llamados “nativos digitales”?,Competencias digitales,Los nativos digitales poseen habilidades tecnológicas y comunicativas desde edades tempranas.,"• Las otras opciones implican carencias o aprendizajes tardíos, no definen su perfil."
En el nuevo sistema comunicativo ¿En qué se convierte el consumidor de contenidos?,Productor,La lógica digital convierte al usuario en creador activo dentro del ecosistema comunicativo.,"• Vinculador, observador y mediador: roles secundarios frente al de productor."
