Pregunta,Respuesta Correcta,Justificación,Opciones Incorrectas
¿Cómo se pueden definir los mecanismos de motivación en el alumnado?,Buscando el compromiso y la participación,"El documento afirma que la narrativa transmedia promueve la motivación activa, fomentando el compromiso y la participación del alumnado.",Optando por un rol pasivo en el aula / Ser repetitivo en el aprendizaje / Ninguna es correcta
¿Qué principio de la narrativa transmedia está relacionado con “desmenuzar una historia”?,Construcción de mundos,"El principio de la narrativa transmedia relacionado con desmenuzar una historia es 'Construcción de mundos', ya que implica crear un universo narrativo amplio que puede ser explorado desde distintos fragmentos o puntos de vista.",Múltiples entregas / Inmersión vs extracción / Expansión vs profundidad
¿Cuál es la situación de la producción transmedia en España?,Las producciones transmedia españolas son incipientes y limitadas,El texto indica que la producción transmedia en España es todavía emergente y poco desarrollada en comparación con otros países.,Son las más populares / Son un referente mundial / Son ilimitadas
¿Cuál es el sitio web propulsado por Joe Lambert?,Storycenter,El documento menciona 'Storycenter' como el espacio promovido por Lambert para fomentar la narrativa digital personal.,Contar historias / Naturnia / Storybird
¿A qué tesis del manifiesto transmedia nos referimos cuando la historia ofrece diferentes puntos de vista?,Madriguera de conejo,"Este principio describe que la historia puede explorarse desde diferentes perspectivas, como si el espectador 'cayera' en distintas madrigueras narrativas.",Universo de la historia / Interactividad / Reclamar la realidad
¿Dónde se evalúa el modelo dentro de la metodología para crear un proyecto transmedia?,Planteamiento,"La evaluación del modelo se contempla en la fase inicial, que corresponde al planteamiento, según la estructura metodológica del documento.",Especificación de medios y tecnologías / Planeación / Armar la historia
¿De cuántos principios está compuesto el manifiesto transmedia?,11,El documento señala que el manifiesto transmedia se compone de 11 principios clave para desarrollar este tipo de narrativa.,13 / 14 / 15
¿Cómo podemos trabajar la narrativa digital en el aula?,A través de la motivación y la interactividad,Se destaca que el uso de narrativa digital debe ir acompañado de estrategias que fomenten la motivación y la participación activa.,Estableciendo roles pasivos / Educando a través de las TIC / Ninguna es correcta
¿Cuál es el libro más famoso escrito por Carlos Scolari?,Narrativas Transmedia. Cuando todos los medios cuentan,La obra citada en el texto es uno de los principales referentes teóricos sobre transmedia escritos por Scolari.,Hipermediaciones / Transmedia archaeology / Las leyes del interfaz
¿Quién es conocido como “el coleccionista de mundos” por su canal de YouTube?,Sebastián Mouret,"Según el documento, Sebastián Mouret es identificado con ese apodo por su trabajo en la divulgación literaria.",Fátima Orozco / Marta Botet / Javier Ruescas
¿Cuál de estas afirmaciones ha sido declarada por Ingrid Kropp?,Las historias son importantes,La cita destacada en el texto remarca la importancia del relato en el proceso educativo según Ingrid Kropp.,Colaborar siempre es fácil / La interacción no tiene cabida / Cae rápido para caer peor
¿Cuál es la fórmula de la narrativa transmedia?,IM+CPU,En la unidad se menciona que la fórmula de construcción transmedia se basa en Ideas Motivadoras más Contenidos Producción Usuario.,ND+NT / CPU+ND / IM+ND
¿En qué se caracteriza el aula transmedia?,El conocimiento es construido por todos los participantes,"La educación transmedia busca romper el modelo transmisivo, promoviendo la construcción colaborativa del conocimiento.",Aula transmisiva / Observador / Docente pasivo
¿Cuáles son los formatos más utilizados para la narrativa digital?,Storyboard,El storyboard se menciona como herramienta visual clave para planificar relatos digitales.,Relato digital impersonal / Etnografía / Ninguna es correcta
¿Qué es un relato digital personal?,Documentar y compartir una experiencia personal significativa,Se define como una forma de narración en primera persona basada en vivencias propias.,Guion gráfico con ilustraciones / Proyecto de investigación / Diario de clase
¿Qué país es pionero en la investigación transmedia?,Estados Unidos,El documento reconoce a Estados Unidos como líder en estudios sobre transmedia.,España / Canadá / Reino Unido
¿En qué momento se crean mundos y personajes en la metodología transmedia?,Armar la historia,La fase de creación de mundos y personajes se sitúa en el proceso de armar la historia según el esquema metodológico.,Planteamiento / Especificación de medios / Planeación
¿Qué tesis habla de atraer a distintos tipos de experimentadores?,Quietos e inquietos,La tesis 'Quietos e inquietos' hace referencia a la variedad de modos de implicación de los usuarios.,Narración basada en el lugar / Multipago / Carácter transmedia
¿Quién dijo: “la escuela no se ha adaptado a la realidad digital”?,Carlos Scolari,"Según el documento, la frase 'la escuela no se ha adaptado a la realidad digital' es atribuida a Carlos Scolari, quien destaca la necesidad urgente de que la educación evolucione con el entorno digital actual.",Henry Jenkins / Manuel Castells / Joe Lambert
¿Qué serie española es referente como proyecto transmedia?,El ministerio del tiempo,Se presenta como caso ejemplar de narrativa transmedia en el contexto español.,Amar en tiempos revueltos / Vis a vis / La verdad
